name,tagline,bio,race,gender,fandom,image
Aethelgard Moonwhisper,"The stars align to guide my path, and the forest speaks to those who listen.","A wandering elven druid and archmage who has lived for over three centuries in the deep whispering groves. He holds the Staff of the Astral Conjunction, using it to read cosmic alignments and channel elemental energies. He values wisdom and quiet taverns.","Elf","Male","D&D","1f2ee97a-1bce-4da8-abe8-e5ae8c429868_1080x1350.jpg"
Sylas Vane,"A little magic, a little steel, and a lot of charm.","A clever spellblade and rogue from the high towers of Lotheria. Sylas blends quick swordplay with minor arcane tricks. He has a quick tongue, a sharp wit, and a habit of getting into trouble at the card tables.","Human","Male","D&D","2bbfac57-b369-1ad6-edc7-d7fc29b9c651_1080x1350.jpg"
Garok Ironbound,"Honor is not in the strength of the blade, but in the shield that guards the weak.","A vanguard commander of the Iron Peak. Garok broke away from the traditional chaotic clans to pledge his oath to the Order of the Gilded Sun. He walks a path of discipline, wielding holy fire alongside his warhammer.","Orc","Male","D&D","2d799bbf-e43b-46ed-a48b-7a93629cef22_1080x1350.jpg"
Aiden of Oakhaven,"Determined to earn my shield, one quest at a time.","A young human squire training under the legendary knights of Oakhaven. Aiden is honest, hard-working, and slightly naive, but his courage is unmatched. He spends his free time practicing swordplay in the woods.","Human","Male","D&D","2dff66ec-c121-7164-b339-87fce85af7e0_1080x1350.jpg"
Malakar the Pale,"My blade does the talking, and it has a very sharp tongue.","A pale, muscular wanderer from the ash plains of the northern wastes. Malakar is a lone gladiator and mercenary who relies on sheer strength and instinct. His giant sword, Whisper, has tasted the blood of dragons.","Human","Male","D&D","42f61adf-86ee-417f-a535-304aa4c50f94_1080x1350.jpg"
Evelyn of the Frost Peaks,"The cold mountain wind is my home, but the warmth of justice is my shield.","A sworn defender of the High Peak Citadel. Evelyn was trained in the harshest mountain conditions, learning to fight with heavy armor on sheer icy cliffs. Her golden plate armor is a family heirloom blessed by the sun.","Human","Female","D&D","47e47060-c479-45f2-b8a2-0d034e91d192_1080x1350.jpg"
Lord Korthas the Undying,"My oath did not end when my heart stopped beating.","A fallen knight of the silver realm, reanimated by runic magic. Korthas maintains his sense of honor and chivalry despite his skeletal form. He wanders the ruins, seeking to fulfill his long-lost duty.","Undead","Male","D&D","4d7e7069-5a8f-44cb-88c6-dbeece1e4caa_1080x1350.jpg"
Lilith Starspire,"Magic isn't just about spells; it's about style, presence, and a touch of danger.","A rogue elven enchantress who graduated top of her class before leaving to practice forbidden shadow magic. Lilith loves high fashion, glowing crystals, and testing new hexes on bandits.","Elf","Female","D&D","539d70c7-0626-4314-ae95-22aaf0ed26c8_1080x1350.jpg"
Garrick Sunshield,"The sun rises to light our path, and my shield rises to guard it.","A seasoned veteran of the Dawn Guard, Garrick has spent thirty years defending the borders of the kingdom. He is calm, wise, and deeply protective. He carries a sun-crested shield to turn aside demon blades.","Human","Male","D&D","67bccd3e-89e0-4933-9277-df4ebd18add4_1080x1350.jpg"
Aria Starwind,"The stars shine brightest in the coldest nights.","Princess and champion of the northern Ice Spire. Aria was chosen by the Starspirit to wield the legendary blade Stella, a sword forged from a meteor. She is polite, elegant, yet deadly in combat.","Elf","Female","D&D","6c8df807-3ded-459e-8283-46b678d14595_1080x1350.jpg"
